source_medium	campaignName	campaignKeyword	deviceType_standard	day_of_week	campaignContent	nb_conversions	nb_visits	conversion_rate
away.vk.com/referral	none	not_set	not_set	not_set	not_set	52	104	50
none	march_8_march_2018	not_set	not_set	not_set	not_set	140	140	100
none	32372864.deti_poisk	not_set	not_set	not_set	not_set	15	65	23.08
yandex/cpc	32372867.brendovie_poisk	not_set	not_set	not_set	not_set	618	430	143.72
none	33205640.podarki_zhenshchinam_mo_poisk	not_set	not_set	not_set	not_set	841	3094	27.18
none	32505035.tovarnaya_rf_set	not_set	not_set	not_set	not_set	143	143	100
none	32725046.otkrytki_mo_poisk	not_set	not_set	not_set	not_set	45	33	136.36
yandex/cpc	32725024.medali__mo_poisk	not_set	not_set	not_set	not_set	14	23	60.87
im/newsletter	march_return_money_ac_2018	not_set	not_set	not_set	not_set	110	83	132.53
googleads.g.doubleclick.net/campaigns	adwords (text_image)	not_set	not_set	not_set	not_set	4	31	12.9
yandex/cpc	33197318.8_marta_rf_poisk	not_set	not_set	not_set	not_set	693	3101	22.35
com.google.android.googlequicksearchbox/organic	none	not_set	not_set	not_set	not_set	362	1355	26.72
googleads.g.doubleclick.net/campaigns	adwords (image)	not_set	not_set	not_set	not_set	14	69	20.29
none	march_return_money_ac_2018	not_set	not_set	not_set	not_set	130	73	178.08
yandex/cpc	33205640.podarki_zhenshchinam_mo_poisk	not_set	not_set	not_set	not_set	524	2382	22
none	32389165.brendovie_set	not_set	not_set	not_set	not_set	45	52	86.54
yandex/cpc	32469844.brendovie_rf_poisk	not_set	not_set	not_set	not_set	132	95	138.95
yandex/cpc	32587236.magaziny_rf_poisk	not_set	not_set	not_set	not_set	35	144	24.31
yandex/cpc	33196823.8_marta_mo_poisk	not_set	not_set	not_set	not_set	1546	4647	33.27
yandex/cpc	32372870.zhenschiny_spb_poisk	not_set	not_set	not_set	not_set	18	118	15.25
none	33197703.8_marta_rf_set	not_set	not_set	not_set	not_set	126	285	44.21
none	adwords	not_set	not_set	not_set	not_set	1176	5462	21.53
none	adwords (text,image)	not_set	not_set	not_set	not_set	15	109	13.76
googleads.g.doubleclick.net/campaigns	adwords (text)	not_set	not_set	not_set	not_set	513	5161	9.94
yandex/cpc	32561688.otkrytki_rf_set	not_set	not_set	not_set	not_set	18	66	27.27
none	32587236.magaziny_rf_poisk	not_set	not_set	not_set	not_set	43	155	27.74
none	32725021.zabitoe_v_korzine_mo_set	not_set	not_set	not_set	not_set	47	60	78.33
yandex/cpc	33197691.8_marta_mo_set	not_set	not_set	not_set	not_set	199	347	57.35
none	march_solo_box_2018	not_set	not_set	not_set	not_set	202	189	106.88
yandex.ru/referral	none	not_set	not_set	not_set	not_set	18	21	85.71
yandex/cpc	32564661.bukety_set	not_set	not_set	not_set	not_set	94	283	33.22
yandex/cpc	none	not_set	not_set	not_set	not_set	28	63	44.44
yandex/cpc	32372864.deti_poisk	not_set	not_set	not_set	not_set	13	55	23.64
none	33197691.8_marta_mo_set	not_set	not_set	not_set	not_set	463	722	64.13
yandex/cpc	32725074.magaziny_mo_set	not_set	not_set	not_set	not_set	77	103	74.76
none	adwords (text)	not_set	not_set	not_set	not_set	597	5338	11.18
www.confael.ru/referral	none	not_set	not_set	not_set	not_set	1458	1099	132.67
none	promokod10	not_set	not_set	not_set	not_set	45	30	150
none	32372867.brendovie_poisk	not_set	not_set	not_set	not_set	1000	595	168.07
yandex/cpc	33197703.8_marta_rf_set	not_set	not_set	not_set	not_set	74	175	42.29
vk/cpc	retargeting	not_set	not_set	not_set	not_set	29	67	43.28
not_set	not_set	not_set	not_set	Среда	not_set	5234	9921	52.76
not_set	not_set	not_set	not_set	Понедельник	not_set	4093	7920	51.68
not_set	not_set	not_set	not_set	Воскресенье	not_set	4033	8042	50.15
not_set	not_set	not_set	not_set	Вторник	not_set	3656	8027	45.55
not_set	not_set	not_set	not_set	Четверг	not_set	5039	12313	40.92
not_set	not_set	not_set	not_set	Пятница	not_set	3097	4243	72.99
not_set	not_set	not_set	not_set	Суббота	not_set	11395	17371	65.6
com.google.android.googlequicksearchbox/organic	not_set	not_set	not_set	Четверг	not_set	89	459	19.39
none/direct entry	not_set	not_set	not_set	Суббота	not_set	399	1178	33.87
none	not_set	not_set	not_set	Воскресенье	not_set	3757	8042	46.72
confaelshop.ru/direct entry	not_set	not_set	not_set	Воскресенье	not_set	39	46	84.78
yandex.ru/organic	not_set	not_set	not_set	Пятница	not_set	34	78	43.59
none	not_set	not_set	not_set	Понедельник	not_set	4093	7920	51.68
none	not_set	not_set	not_set	Пятница	not_set	1599	4243	37.69
www.confael.ru/referral	not_set	not_set	not_set	Четверг	not_set	219	198	110.61
confaelshop.ru/direct entry	not_set	not_set	not_set	Пятница	not_set	77	188	40.96
none/direct entry	not_set	not_set	not_set	Пятница	not_set	108	354	30.51
